X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3
10000000000,5.3817371,6.4,740402,5.81854182,5.86234060,0.00103457,0.00297194,0.00284458,0.00181000,0.00193736,0.04460942,0.04167690,4.20637266,0.72292557,0.00103457,0.00861829,0.03385323,0.95649390
10000000000,6.4,7.6109255,628670,6.94513338,6.97145890,0.00025610,0.00096331,0.00093828,0.00068219,0.00070722,0.01628424,0.01570793,4.97323315,0.71607453,0.00025610,0.00261186,0.01238647,0.98474557
10000000000,7.6109255,8,162567,7.76465088,7.80237722,0.00007382,0.00042448,0.00040876,0.00033495,0.00035066,0.00807429,0.00771243,5.38678540,0.69375758,0.00007382,0.00095960,0.00546236,0.99350422
20000000000,0.2,0.23784142,31723099,0.22818628,0.21785350,0.78247251,0.79597597,0.80424325,0.02177074,0.01350346,0.32028848,0.51638010,0.19743489,0.86523559,0.78247251,0.20686869,0.01065879,0.00000000
20000000000,0.23784142,0.28284271,26887221,0.22976484,0.25907289,0.78103520,0.79472047,0.77176677,-0.00926843,0.01368527,0.32460087,-0.21983796,0.19857303,0.86424465,0.78103520,0.20816476,0.01080004,0.00000000
20000000000,0.28284271,0.33635857,22786896,0.23150485,0.30809166,0.77945311,0.79333885,0.73484796,-0.04460515,0.01388573,0.32935569,-1.05798951,0.19982629,0.86316240,0.77945311,0.20958892,0.01095796,0.00000000
20000000000,0.33635857,0.4,19318188,0.31215686,0.36638526,0.71362185,0.73186672,0.69323567,-0.02038617,0.01824487,0.43274999,-0.48353959,0.26724442,0.85612219,0.71362185,0.26108546,0.02480667,0.00048602
20000000000,0.4,0.47568285,16374016,0.40916101,0.43570968,0.64125734,0.66420728,0.64680548,0.00554814,0.02294993,0.54434942,0.13159624,0.34731334,0.84884270,0.64125734,0.31065769,0.04578235,0.00230261
20000000000,0.47568285,0.56568542,13880594,0.49939858,0.51814781,0.57753753,0.60689555,0.59562273,0.01808520,0.02935801,0.69634269,0.42896282,0.41342074,0.82783723,0.57753753,0.35022730,0.06760770,0.00462747
20000000000,0.56568542,0.67271713,11769442,0.56671693,0.61618291,0.53583228,0.56738515,0.54000174,0.00416946,0.03155287,0.74840237,0.09889534,0.46780697,0.82546849,0.53583228,0.36996605,0.08608641,0.00811525
20000000000,0.67271713,0.8,9977673,0.72052612,0.73276782,0.44969163,0.48649623,0.48057700,0.03088537,0.03680461,0.87296841,0.73257005,0.58622991,0.81361369,0.44969163,0.40105975,0.12950013,0.01974849
20000000000,0.8,0.95136569,8461515,0.82044728,0.87141485,0.40174862,0.44023470,0.41835921,0.01661059,0.03848608,0.91285120,0.39398655,0.66466226,0.81012184,0.40174862,0.40976858,0.15744166,0.03104113
20000000000,0.95136569,1.1313708,7175408,1.02350278,1.03630776,0.31807850,0.35933407,0.35476213,0.03668364,0.04125557,0.97854076,0.87009909,0.81791286,0.79913106,0.31807850,0.41065344,0.20947102,0.06179704
20000000000,1.1313708,1.3454343,6083826,1.22168122,1.23239001,0.25304668,0.29473424,0.29159483,0.03854815,0.04168755,0.98878694,0.91432340,0.96634769,0.79099823,0.25304668,0.39408655,0.25090889,0.10195788
20000000000,1.3454343,1.6,5160298,1.43246398,1.46556112,0.19825715,0.23872000,0.23094836,0.03269121,0.04046284,0.95973806,0.77540274,1.12451021,0.78501814,0.19825715,0.36555525,0.28229784,0.15388976
20000000000,1.6,1.9027314,4376336,1.69980390,1.74284275,0.14547786,0.18271935,0.17502215,0.02954429,0.03724149,0.88333085,0.70076090,1.32312457,0.77839836,0.14547786,0.32086088,0.30424903,0.22941223
20000000000,1.9027314,2.2627417,3712406,2.03444505,2.07259392,0.09842269,0.13075302,0.12585889,0.02743620,0.03233033,0.76684304,0.65075909,1.56691735,0.77019399,0.09842269,0.26223102,0.30800106,0.33134522
20000000000,2.2627417,2.6908685,3149495,2.44710977,2.46473906,0.06050653,0.08654336,0.08503103,0.02452450,0.02603683,0.61756751,0.58169660,1.86516106,0.76218937,0.06050653,0.19645499,0.28598648,0.45705200
20000000000,2.6908685,3.2,2671549,2.88992940,2.93111774,0.03598774,0.05558014,0.05333739,0.01734965,0.01959240,0.46471211,0.41151635,2.18632851,0.75653354,0.03598774,0.13911405,0.24443572,0.58046250
20000000000,3.2,3.8054628,2266916,3.45808667,3.48572305,0.01811712,0.03148996,0.03063160,0.01251448,0.01337283,0.31719014,0.29683087,2.59339060,0.74994957,0.01811712,0.08595378,0.18533947,0.71058963
20000000000,3.8054628,4.5254834,1923019,4.10597607,4.14517709,0.00837329,0.01647393,0.01584063,0.00746734,0.00810064,0.19213904,0.17711778,3.05142004,0.74316557,0.00837329,0.04772184,0.12450683,0.81939804
20000000000,4.5254834,5.3817371,1632217,4.90028164,4.92956083,0.00324773,0.00744449,0.00722968,0.00398195,0.00419676,0.09954285,0.09444781,3.60213847,0.73508805,0.00324773,0.02234936,0.07058314,0.90381977
20000000000,5.3817371,6.4,1385028,5.82303968,5.86223295,0.00105991,0.00295860,0.00284488,0.00178498,0.00189869,0.04503507,0.04233788,4.26499747,0.73243490,0.00105991,0.00880849,0.03419786,0.95593374
20000000000,6.4,7.6109255,1175463,6.93667942,6.97147476,0.00030031,0.00097149,0.00093827,0.00063796,0.00067118,0.01591979,0.01513179,5.02886096,0.72496661,0.00030031,0.00274445,0.01295490,0.98400035
20000000000,7.6109255,8,303646,7.76567121,7.80231837,0.00007245,0.00042404,0.00040879,0.00033633,0.00035159,0.00833941,0.00797749,5.50471208,0.70885207,0.00007245,0.00113948,0.00562497,0.99316309
