rank,label,form,digits,B,K_cert,n_kills,compression_ratio,q_mod_3,m0_note,wall_s,forb_s,walk_s,n_active_r,skipped_qmod0,reused,skipped,skip_reason,first_survivor,kill_table
48,15*2^17609618+1,Proth,5301025,10000000,2,0,5.30102e+06,1,m0=q+1 (not a 2-power sink),0.9641,0.9273,0.0368,664578,0,0,0,,"k=2, ε=-1 (class A)",
49,3622*5^7558139-1,GenPow,5282917,10000000,56,18,293495,1,m0=q+1 (not a 2-power sink),1.0318,0.9928,0.0390,664578,0,0,0,,"k=56, ε=-1 (class A)",2:A:16649;4:B:19;8:A:7;10:B:661;14:A:5;16:B:5;20:A:416849;22:B:17;26:A:173;28:B:101;32:A:13;34:B:7;38:A:29;40:B:109;44:A:5;46:B:5;50:A:7;52:B:11
50,7*6^6772401+1,GenPow,5269954,10000000,20,6,878326,1,m0=q+1 (not a 2-power sink),0.9730,0.9362,0.0368,664578,0,0,0,,"k=20, ε=-1 (class A)",2:A:5;4:B:29;8:A:7;10:B:7297;14:A:89;16:B:43
51,2*3^10852677+1,GenPow,5178044,10000000,16,5,1.03561e+06,1,m0=q+1 (not a 2-power sink),0.9526,0.9174,0.0352,664578,0,0,0,,"k=16, ε=+1 (class B)",2:A:31;4:B:11;8:A:5;10:B:12241;14:A:17
52,8508301*2^17016603-1,Riesel,5122515,10000000,34,11,465683,1,m0=q+1 (not a 2-power sink),0.9861,0.9398,0.0463,664578,0,0,0,,"k=34, ε=+1 (class B)",2:A:23;4:B:19;8:A:5;10:B:17;14:A:5779;16:B:7;20:A:443;22:B:5;26:A:7;28:B:13;32:A:107
53,8*10^5112847-1,GenPow,5112848,10000000,28,9,568094,1,m0=q+1 (not a 2-power sink),0.9465,0.9093,0.0372,664578,0,0,0,,"k=28, ε=+1 (class B)",2:A:509;4:B:349;8:A:31;10:B:7;14:A:5;16:B:5;20:A:132989;22:B:17;26:A:59
54,13*2^16828072+1,Proth,5065756,10000000,20,6,844293,2,m0=q-1 (not a 2-power sink),0.9361,0.8977,0.0384,664578,0,0,0,,"k=20, ε=+1 (class B)",2:B:19;4:A:5;8:B:7;10:A:53;14:B:23311;16:A:11
55,3*2^16819291-1,Riesel,5063112,10000000,16,5,1.01262e+06,2,m0=q-1 (not a 2-power sink),0.9523,0.9156,0.0367,664578,0,0,0,,"k=16, ε=-1 (class A)",2:B:11;4:A:19;8:B:5;10:A:7;14:B:17
56,5287180*3^10574360-1,GenPow,5045259,10000000,8,2,2.52263e+06,2,m0=q-1 (not a 2-power sink),0.9467,0.9111,0.0357,664578,0,0,0,,"k=8, ε=+1 (class B)",2:B:677;4:A:5
57,3*2^16408818+1,Proth,4939547,10000000,4,1,4.93955e+06,1,m0=q+1 (not a 2-power sink),0.9746,0.9382,0.0364,664578,0,0,0,,"k=4, ε=+1 (class B)",2:A:5
58,2329989*2^16309923-1,Riesel,4909783,10000000,50,16,306861,2,m0=q-1 (not a 2-power sink),1.0245,0.9868,0.0377,664578,0,0,0,,"k=50, ε=+1 (class B)",2:B:7;4:A:379;8:B:11;10:A:13;14:B:5;16:A:5;20:B:19;22:A:191;26:B:29;28:A:389;32:B:71;34:A:23;38:B:3221;40:A:7;44:B:5;46:A:5
59,69*2^15866556-1,Riesel,4776312,10000000,28,9,530701,2,m0=q-1 (not a 2-power sink),0.9766,0.9360,0.0407,664578,0,0,0,,"k=28, ε=-1 (class A)",2:B:2617;4:A:149;8:B:5;10:A:7;14:B:167;16:A:29;20:B:9967;22:A:5;26:B:17
60,2036*3^10009192+1,GenPow,4775602,10000000,4,1,4.7756e+06,1,m0=q+1 (not a 2-power sink),0.9646,0.9278,0.0368,664578,0,0,0,,"k=4, ε=+1 (class B)",2:A:7
61,2525532*73^2525532+1,GenPow,4705888,10000000,4,1,4.70589e+06,1,m0=q+1 (not a 2-power sink),0.9759,0.9378,0.0381,664578,0,0,0,,"k=4, ε=+1 (class B)",2:A:5
62,1419499*2^15614489-1,Riesel,4700436,10000000,46,15,313362,1,m0=q+1 (not a 2-power sink),0.9895,0.9342,0.0553,664578,0,0,0,,"k=46, ε=+1 (class B)",2:A:41;4:B:61;8:A:5;10:B:11;14:A:4674517;16:B:13;20:A:19;22:B:5;26:A:1187;28:B:151;32:A:263;34:B:7;38:A:5;40:B:17;44:A:83
63,11*2^15502315+1,Proth,4666663,10000000,22,7,666666,2,m0=q-1 (not a 2-power sink),0.9986,0.9592,0.0394,664578,0,0,0,,"k=22, ε=-1 (class A)",2:B:557;4:A:5;8:B:223;10:A:83;14:B:29;16:A:41;20:B:697381
64,(10^2332974+1)^2-2,GenPow,4665949,10000000,14,4,1.16649e+06,2,m0=q-1 (not a 2-power sink),1.0050,0.9675,0.0374,664578,0,0,0,,"k=14, ε=+1 (class B)",2:B:71;4:A:5;8:B:1319;10:A:859
65,37*2^15474010+1,Proth,4658143,10000000,82,27,172524,2,m0=q-1 (not a 2-power sink),0.9736,0.9316,0.0420,664578,0,0,0,,"k=82, ε=-1 (class A)",2:B:11;4:A:5;8:B:41;10:A:7;14:B:19;16:A:29;20:B:103;22:A:59;26:B:5;28:A:13;32:B:7;34:A:5;38:B:61;40:A:31;44:B:360649;46:A:89;50:B:13;52:A:7;56:B:5;58:A:107;62:B:7681;64:A:5;68:B:11;70:A:171203;74:B:7;76:A:5501;80:B:825047
66,93839*2^15337656-1,Riesel,4617100,10000000,34,11,419736,1,m0=q+1 (not a 2-power sink),0.9523,0.9116,0.0407,664578,0,0,0,,"k=34, ε=+1 (class B)",2:A:5;4:B:59;8:A:17;10:B:31;14:A:251;16:B:7;20:A:61;22:B:1063961;26:A:7;28:B:5;32:A:5
