source,ell,r,k,a,b,N,door,r_mod3,m0,m1,v2_door,exact_2_door,cof_primes,gold_primes,match_mod3_rule
germain,19,779837,20522,,,,m0,2,779836,779838,2,False,31;331,19;31;331,True
germain,19,780179,20531,,,,m0,2,780178,780180,1,True,7;419,7;19;419,True
germain,19,781129,20556,,,,m1,1,781130,781128,3,False,3;571,5;7;11159,True
germain,19,781243,20559,,,,m1,1,781244,781242,1,True,3;7;11;89,195311,True
germain,19,781357,20562,,,,m1,1,781358,781356,2,False,3;23;149,103;3793,True
germain,19,781433,20564,,,,m0,2,781432,781434,3,False,53;97,19;53;97,True
germain,19,781661,20570,,,,m0,2,781660,781662,2,False,5;11;17,5;11;17;19,True
germain,19,781889,20576,,,,m0,2,781888,781890,6,False,643,19;643,True
germain,19,782003,20579,,,,m0,2,782002,782004,1,True,13;1583,13;19;1583,True
germain,19,782231,20585,,,,m0,2,782230,782232,1,True,5;23;179,5;19;23;179,True
germain,19,782497,20592,,,,m1,1,782498,782496,5,False,3;11;13,391249,True
germain,19,782611,20595,,,,m1,1,782612,782610,1,True,3;5;1373,17;677,True
germain,19,782687,20597,,,,m0,2,782686,782688,1,True,43;479,19;43;479,True
germain,19,782839,20601,,,,m1,1,782840,782838,1,True,3;7;109,5;19571,True
germain,19,783143,20609,,,,m0,2,783142,783144,1,True,37;557,19;37;557,True
germain,19,783257,20612,,,,m0,2,783256,783258,3,False,5153,19;5153,True
germain,19,783599,20621,,,,m0,2,783598,783600,1,True,17;1213,17;19;1213,True
germain,19,784283,20639,,,,m0,2,784282,784284,1,True,20639,19;20639,True
germain,19,784321,20640,,,,m1,1,784322,784320,6,False,3;5;43,7;11;463,True
germain,19,785119,20661,,,,m1,1,785120,785118,1,True,3;71;97,5;7;701,True
germain,19,785347,20667,,,,m1,1,785348,785346,1,True,3;83,196337,True
germain,19,785423,20669,,,,m0,2,785422,785424,1,True,11;1879,11;19;1879,True
germain,19,785461,20670,,,,m1,1,785462,785460,2,False,3;5;13;53,433;907,True
germain,19,785537,20672,,,,m0,2,785536,785538,7,False,17,17;19,True
germain,19,785651,20675,,,,m0,2,785650,785652,1,True,5;827,5;19;827,True
germain,19,785803,20679,,,,m1,1,785804,785802,1,True,3;61;113,151;1301,True
germain,19,785879,20681,,,,m0,2,785878,785880,1,True,20681,19;20681,True
